OTP Phy Addr,OTP Value,Register Name,Values,,,,,,,,,
8000,8'hD2,,,,,,,,,,,
8001,8'hC3,,,,,,,,,,,
8002,8'hB4,,,,,,,,,,,
8003,8'hA5,,,,,,,,,,,
8004,8'h00,,,,,,,,,,,
8005,8'h00,,,,,,,,,,,
8006,8'h04,,,,,,,,,,,
8007,8'h01,,,,,,,,,,,
8008,Golden Trim,WHO_AM_I,,,,,,,,,,
8009,8'h05,,,,,,,,,,,
800A,8'h00,,,,,,,,,,,
800B,8'h04,,,,,,,,,,,
800C,8'h01,,,,,,,,,,,
800D,Golden Trim,INT_WIDTH,,,,,,,,,,
800E,8'h3C,,,,,,,,,,,
800F,8'h00,,,,,,,,,,,
8010,8'h04,,,,,,,,,,,
8011,8'h06,,,,,,,,,,,
8012,8'h00,PRI_SERIF_CFG,,,,,,,,,,
8013,,,,,,,,,,,,
8014,Golden Trim,W_1_STICKY,,,,,,,,,,
8015,Golden Trim,ANA_ENABLE,,,,,,,,,,
8016,Golden Trim,RXBIAS_PLL_CLK_TIME,,,,,,,,,,
8017,Golden Trim,RCOSC_DIG_CLK_TIME,,,,,,,,,,
8018,8'h51,,,,,,,,,,,
8019,8'h00,,,,,,,,,,,
801A,8'h04,,,,,,,,,,,
801B,8'h01,,,,,,,,,,,
801C,Golden Trim,PROTECT_CFG,,,,,,,,,,
801D,8'h0F,,,,,,,,,,,
801E,8'h01,,,,,,,,,,,
801F,8'h04,,,,,,,,,,,
8020,8'h04,,,,,,,,,,,
8021,Golden Trim,TEMP_CONTROL,,,,,,,,,,
8022,,,,,,,,,,,,
8023,Golden Trim,OFFSET_REG,,,,,,,,,,
8024,Golden Trim,CONTRIM,,,,,,,,,,
8025,8'h18,,,,,,,,,,,
8026,8'h01,,,,,,,,,,,
8027,8'h04,,,,,,,,,,,
8028,8'h08,,,,,,,,,,,
8029,User Define,RXDELAYINTSTART_TEMP_0,,,,,,,,,,
802A,User Define,RXDELAYINTSTART_TEMP_1,,,,,,,,,,
802B,User Define,RXDELAYINTSTOP_TEMP_0,,,,,,,,,,
802C,User Define,RXDELAYINTSTOP_TEMP_1,,,,,,,,,,
802D,User Define,RXDELAYTRACKSTART_TEMP_0,,,,,,,,,,
802E,User Define,RXDELAYTRACKSTART_TEMP_1,,,,,,,,,,
802F,User Define,RXDELAYTRACKSTOP_TEMP_0,,,,,,,,,,
8030,User Define,RXDELAYTRACKSTOP_TEMP_1,,,,,,,,,,
8031,8'h7C,,,,,,,,,,,
8032,8'h01,,,,,,,,,,,
8033,8'h04,,,,,,,,,,,
8034,8'h07,,,,,,,,,,,
8035,Golden Trim,ADCOFFSET,,,,,,,,,,
8036,User Define,ADCRANGE,,,,,,,,,,
8037,0,,,,,,,,,,,
8038,0,,,,,,,,,,,
